trip_date,trip_count,total_fare,total_tip,total_revenue,avg_trip_distance,avg_trip_duration_min
2026-05-01,131182,2785591.909999896,404471.9099999993,3988956.209999801,3.5618245643457125,19.675196292174256
2026-05-02,132055,2639793.3099998333,358945.7699999982,3721159.139999722,4.556117375336046,17.084924968131862
2026-05-03,118189,2613314.8199998224,341480.6999999984,3645385.189999703,7.557790826557451,16.723600053022388
2026-05-04,102028,2230017.109999958,348163.09000000195,3208527.7599998964,5.281102834515999,19.89326263378666
2026-05-05,123406,2589897.48999992,392812.4400000002,3732231.0899998248,4.531088763917502,19.165189969153282
2026-05-06,132583,2876711.899999841,422875.1300000014,4098088.6799997385,6.735360566588533,19.651483347538353
2026-05-07,131736,2853578.4999998696,436923.5500000029,4089339.7599997744,3.8296798900831788,20.14852976154322
2026-05-08,127850,2706632.2799998987,400796.7000000018,3870338.7399998065,8.605617207665185,19.56625224872901
2026-05-09,130075,2515233.549999963,349121.7999999975,3566153.5299999127,4.380432673457608,17.165454289192162
2026-05-10,118285,2466085.7600000002,337298.3499999981,3548151.839999902,3.85386253540177,17.47802989953652
2026-05-11,117857,2487868.079999989,386918.0800000027,3672851.9499999196,4.559644399568974,19.608569141699967
2026-05-12,134726,2839644.9000000022,435570.1400000029,4181350.969999862,4.597420542434302,20.520437901122712
2026-05-13,141858,3099842.020000004,470982.7500000044,4527528.509999886,7.104174103681135,21.527330499513706
2026-05-14,154594,3397148.250000016,504728.6300000049,4962648.269999839,3.450404996312911,21.018103333031384
2026-05-15,147061,3197897.1700000195,443960.4499999991,4637867.1499998765,4.461841820741096,20.977064392780335
2026-05-16,151068,3261524.0600000257,395593.0200000001,4513918.549999887,4.2784120396112835,19.316256034809744
2026-05-17,128525,2930443.740000008,375607.87999999983,4053297.1799998856,6.365767905076843,18.966016079880692
2026-05-18,118382,2658780.4199998435,381760.7000000014,3772213.7199997352,5.078691101687789,19.926020847764004
2026-05-19,137074,3068277.2899998166,433284.62000000116,4329225.609999717,3.9951344529232458,20.511126471832547
2026-05-20,146716,3375288.9899997963,466179.8599999992,4728975.269999672,3.2994630442487534,20.4249240028355
2026-05-21,138578,3147822.2499997946,463319.30000000104,4453695.839999674,4.436059403368514,20.895479200642587
2026-05-22,113054,2359800.469999847,336274.47999999986,3377707.539999696,4.090425195039521,18.01612076234957
2026-05-23,113348,2256154.3299998064,277732.08999999677,3151031.019999665,5.639107615485091,16.370585130159792
2026-05-24,93111,1843805.2999999814,231822.89999999636,2595219.879999928,9.62770360107829,15.935719732362438
2026-05-25,74214,1649907.4899999585,241539.42999999766,2365203.5399998943,4.949821462257834,15.651196988887994
2026-05-26,110412,2362130.4799998854,345127.17000000004,3371834.7899997476,5.101354834619437,19.372024478015607
2026-05-27,122323,2598759.449999846,356581.84999999875,3683927.2199997315,5.265620774506837,17.51723142826784
2026-05-28,134917,2951998.9099997957,413365.4400000001,4178640.1299997135,7.361826382146048,19.548589379643282
2026-05-29,130604,2781932.0899997656,376026.26000000065,3931585.099999642,4.626114207834365,19.503705858932374
2026-05-30,138714,2815809.479999687,340265.16999999754,3903798.6099995007,5.251158066237063,17.0609540733692
2026-05-31,117282,2639642.309999939,332015.3800000004,3641503.149999835,4.402090431609309,18.5889909221648
