pickup_dow,pickup_dow_num,pickup_hour,trip_count,avg_fare,avg_tip,avg_tip_pct
Sunday,1,0,33593,21.17757985294562,2.0831167207453953,0.1326803597827202
Sunday,1,1,26385,19.570734129240183,1.87085578927421,0.13155839731249225
Sunday,1,2,19455,18.834797738370646,1.8216967360575729,0.13143196626284173
Sunday,1,3,14126,19.480278918306652,1.757107461418659,0.12243158090433501
Sunday,1,4,9830,21.68128687690745,1.6969074262461865,0.0988522273470463
Sunday,1,5,4914,26.660087505087485,2.4013939763939742,0.08737672931138617
Sunday,1,6,6058,25.79905579399141,2.421247936612742,0.09612814613664666
Sunday,1,7,8367,23.98732998685316,2.51565555157165,0.12109697749623925
Sunday,1,8,12205,21.4945735354363,2.5179901679639505,0.14498786643901487
Sunday,1,9,19684,19.604910079252214,2.3501021133915847,0.14939643307372885
Sunday,1,10,25779,19.403347298188525,2.4551739788199662,0.15348185236732023
Sunday,1,11,29750,20.71767663865552,2.719826554621837,0.15776758384033607
Sunday,1,12,33630,20.83621409455847,2.7198551888195013,0.15670986197294096
Sunday,1,13,34899,22.46389094243393,2.9816567809965804,0.15614102881070674
Sunday,1,14,36652,23.453042944450623,3.209060078576878,0.15455378274418266
Sunday,1,15,34177,23.79132369722331,3.398507768382239,0.16089654927016003
Sunday,1,16,34406,22.90164593384877,3.324306806952268,0.1656868680075869
Sunday,1,17,36402,21.8852925663425,3.161661721883401,0.16435784173988113
Sunday,1,18,33723,20.790675206832045,2.998037244610493,0.16550073896383785
Sunday,1,19,28743,21.527724315485518,3.269554674181524,0.17101667838905424
Sunday,1,20,26943,21.729242474854363,3.2973985821920224,0.17285892723126917
Sunday,1,21,26456,21.890873903840365,3.260119065618387,0.16782643069631017
Sunday,1,22,23231,22.91240885024322,3.095266239077094,0.1462273818413375
Sunday,1,23,15984,24.973141266266314,3.2775150150150107,0.13832250222436013
Monday,2,0,7582,24.822670799261417,2.7721326826694765,0.12801547325905033
Monday,2,1,4189,22.607603246598195,2.0572069706373837,0.1183871257035774
Monday,2,2,2513,21.596346995622767,1.6502347791484278,0.10369161820708736
Monday,2,3,2012,23.923737574552657,1.7033151093439365,0.09373921387588652
Monday,2,4,2378,30.808889823380994,2.5287510513036167,0.09025628224059792
Monday,2,5,4476,29.21142091152816,2.420831099195711,0.0962241540769346
Monday,2,6,8797,25.413905877003497,2.2108048198249395,0.11674275215108876
Monday,2,7,16560,23.237913043478283,2.3504535024154607,0.13268389496704644
Monday,2,8,20436,22.675587199060526,2.6228503621060835,0.14962166417804643
Monday,2,9,19972,21.217079411175657,2.8738398758261536,0.16512617048857245
Monday,2,10,19297,21.56812665181118,3.2397175726796834,0.17625521995303825
Monday,2,11,20400,22.16140343137259,3.329252450980392,0.17724446080601988
