PULocationID,PUBorough,PUZone,pickup_count,total_revenue,avg_tip
69,Bronx,East Concourse/Concourse Village,1732,58161.94999999991,0.10521939953810622
14,Brooklyn,Bay Ridge,1727,65069.44999999995,0.3256977417486972
197,Queens,Richmond Hill,1671,75449.70999999989,2.2342549371633753
213,Bronx,Soundview/Castle Hill,1609,57803.57999999988,0.09981354878806711
51,Bronx,Co-Op City,1542,66114.68999999983,0.056977950713359274
40,Brooklyn,Carroll Gardens,1467,56780.25999999995,0.9026312201772323
85,Brooklyn,Erasmus,1462,51249.41999999995,0.22621751025991793
159,Bronx,Melrose South,1459,46234.699999999924,0.0917340644276902
77,Brooklyn,East New York/Pennsylvania Avenue,1427,48752.73999999992,0.0191520672740014
52,Brooklyn,Cobble Hill,1415,50829.28000000002,1.3980494699646644
205,Queens,Saint Albans,1353,55135.509999999886,0.055365853658536586
215,Queens,South Jamaica,1336,64026.30999999988,2.1623877245508982
195,Brooklyn,Red Hook,1318,57864.77999999997,1.5085204855842191
222,Brooklyn,Starrett City,1307,45003.76999999997,0.040535577658760515
254,Bronx,Williamsbridge/Olinville,1277,51941.34999999988,0.06664839467501958
92,Queens,Flushing,1274,47549.85999999992,0.29267660910518056
182,Bronx,Parkchester,1262,49279.92999999993,0.0363391442155309
235,Bronx,University Heights/Morris Heights,1255,43857.29999999992,0.04136254980079681
167,Bronx,Morrisania/Melrose,1239,41182.18999999992,0.050225988700564966
63,Brooklyn,Cypress Hills,1228,41927.04999999999,0.17909609120521175
155,Brooklyn,Marine Park/Mill Basin,1176,37921.55999999999,0.19082482993197278
86,Queens,Far Rockaway,1111,55910.0099999999,0.06302430243024304
106,Brooklyn,Gowanus,1107,39794.30999999998,0.7029539295392954
117,Queens,Hammels/Arverne,1088,54771.239999999896,0.007904411764705882
165,Brooklyn,Midwood,1065,33068.880000000005,0.06821596244131456
210,Brooklyn,Sheepshead Bay,1042,37943.05999999998,0.041285988483685226
191,Queens,Queens Village,1041,44058.37999999993,0.10809798270893371
78,Bronx,East Tremont,1033,38149.67999999993,0.03449177153920619
26,Brooklyn,Borough Park,1024,30688.13000000001,0.016640625
169,Bronx,Mount Hope,1016,34962.07999999995,0.030009842519685036
119,Bronx,Highbridge,1008,39294.77999999997,0.7188591269841271
93,Queens,Flushing Meadows-Corona Park,1005,70814.52999999997,5.5806268656716425
218,Queens,Springfield Gardens North,1004,41250.52999999991,0.10378486055776891
12,Manhattan,Battery Park,969,35077.52999999998,3.2666769865841077
18,Bronx,Bedford Park,956,37284.43999999995,0.019728033472803348
56,Queens,Corona,947,35799.72999999993,0.6310242872228088
196,Queens,Rego Park,933,39133.03999999994,1.720460878885316
28,Queens,Briarwood/Jamaica Hills,903,41122.89999999995,1.7700110741971207
220,Bronx,Spuyten Duyvil/Kingsbridge,890,34620.04999999998,0.438
241,Bronx,Van Cortlandt Village,877,34064.869999999966,0.264036488027366
47,Bronx,Claremont/Bathgate,875,31185.879999999954,0.10793142857142857
219,Queens,Springfield Gardens South,869,57787.48999999992,5.083935558112774
258,Queens,Woodhaven,857,32972.34999999998,0.4546441073512251
242,Bronx,Van Nest/Morris Park,851,29787.939999999966,0.16459459459459458
123,Brooklyn,Homecrest,843,26389.370000000003,0.05409252669039146
133,Brooklyn,Kensington,815,30237.32,0.4965398773006135
174,Bronx,Norwood,807,32335.409999999956,0.07691449814126394
134,Queens,Kew Gardens,779,40988.85999999998,3.5263928112965353
265,N/A,Outside of NYC,765,73069.78000000001,9.396745098039212
22,Brooklyn,Bensonhurst West,762,25585.18,0.060590551181102355
248,Bronx,West Farms/Bronx River,735,27695.309999999976,0.1540408163265306
259,Bronx,Woodlawn/Wakefield,732,32715.129999999976,0.2349863387978142
126,Bronx,Hunts Point,731,29166.669999999973,0.23986320109439124
217,Brooklyn,South Williamsburg,730,23259.589999999993,0.46787671232876704
81,Bronx,Eastchester,729,30066.87999999997,0.04223593964334705
34,Brooklyn,Brooklyn Navy Yard,725,27580.19,0.9679172413793103
83,Queens,Elmhurst/Maspeth,724,30710.029999999984,2.740414364640884
212,Bronx,Soundview/Bruckner,708,24830.629999999983,0.06524011299435029
121,Queens,Hillcrest/Pomonok,707,26080.079999999987,0.3823903818953324
227,Brooklyn,Sunset Park East,703,24199.109999999993,0.12435277382645804
250,Bronx,Westchester Village/Unionport,694,25927.49999999999,0.039538904899135446
136,Bronx,Kingsbridge Heights,674,24919.709999999992,0.13222551928783383
208,Bronx,Schuylerville/Edgewater Park,663,26500.339999999967,0.317315233785822
29,Brooklyn,Brighton Beach,657,26326.999999999996,0.05453576864535768
21,Brooklyn,Bensonhurst East,635,21436.59,0.06344881889763779
60,Bronx,Crotona Park East,616,22470.339999999986,0.0
32,Bronx,Bronxdale,608,24501.86999999997,0.041348684210526315
131,Queens,Jamaica Estates,606,25536.85999999998,0.4178547854785479
185,Bronx,Pelham Parkway,605,23292.489999999998,0.13325619834710742
108,Brooklyn,Gravesend,604,23552.15999999999,0.03907284768211921
124,Queens,Howard Beach,596,25646.819999999996,1.4220805369127516
202,Manhattan,Roosevelt Island,595,22713.589999999997,0.960470588235294
149,Brooklyn,Madison,586,18324.27,0.11001706484641638
147,Bronx,Longwood,572,19934.8,0.06243006993006992
160,Queens,Middle Village,571,25458.360000000008,2.004080560420315
257,Brooklyn,Windsor Terrace,570,24137.19,0.7870526315789474
200,Bronx,Riverdale/North Riverdale/Fieldston,559,24749.450000000004,0.1986583184257603
102,Queens,Glendale,552,18639.81,0.7166304347826088
20,Bronx,Belmont,510,19759.92,0.33276470588235296
139,Queens,Laurelton,505,23108.559999999987,0.13211881188118813
173,Queens,North Corona,492,15221.450000000012,0.41020325203252034
135,Queens,Kew Gardens Hills,481,18506.000000000004,0.5458212058212059
203,Queens,Rosedale,480,23597.45999999998,0.4809375000000001
180,Queens,Ozone Park,421,18752.309999999994,2.2016627078384796
122,Queens,Hollis,405,16464.31,0.05217283950617284
38,Queens,Cambria Heights,396,19678.269999999997,0.31919191919191914
150,Brooklyn,Manhattan Beach,390,14463.900000000001,0.189974358974359
3,Bronx,Allerton/Pelham Gardens,386,15144.34,0.12922279792746114
94,Bronx,Fordham South,380,14013.2,0.06307894736842105
54,Brooklyn,Columbia Street,379,15389.209999999997,1.349208443271768
67,Brooklyn,Dyker Heights,375,13091.56,0.2228
19,Queens,Bellerose,374,18040.78,0.7946791443850268
